TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612761,A.J. Lawson,1630639,TOR,SG,Combo,14,110,226,49,23,3,4,3,4,0.421,0.364,7,16,22,14,0.341,0.5,5,0.122,0.2,0.537,0.364,-1.5,19.1,1.1,23.5,0.22,7.1,16.7,3.7,1.8,2.6,8.2
1610612749,AJ Green,1631260,MIL,SG,Combo,68,1938,4025,647,171,128,32,5,59,0.51,0.406,20,151,458,14,0.028,0.571,37,0.073,0.486,0.9,0.406,5.1,13.4,1.5,18.1,0.09,1.2,8.7,8.9,0.8,0.3,10
1610612742,AJ Johnson,1642358,DAL,SG,Combo,40,353,748,112,46,36,9,2,24,0.388,0.205,9,37,44,50,0.388,0.46,35,0.271,0.286,0.341,0.205,-15.7,19.3,2,26.9,0.178,2.7,11.2,13.7,1.2,0.5,14.7
1610612743,Aaron Gordon,203932,DEN,PF,Forward,31,852,1768,515,183,79,18,8,33,0.559,0.41,45,138,134,111,0.32,0.748,102,0.294,0.353,0.386,0.41,6.5,22.7,5,32.1,0.424,6.2,17.4,13.6,1,0.9,7.4
1610612745,Aaron Holiday,1628988,HOU,PG,Point,47,620,1288,256,42,48,22,4,33,0.447,0.38,8,34,137,19,0.089,0.526,57,0.268,0.421,0.643,0.38,-0.2,17.8,2.6,25,0.174,1.4,6,10.5,1.8,0.6,12.6
1610612754,Aaron Nesmith,1630174,IND,SF,Wing,44,1300,2796,595,180,84,25,23,58,0.447,0.371,47,133,272,89,0.179,0.528,137,0.275,0.394,0.546,0.371,-1.5,19.7,2.3,25.5,0.219,3.8,11.5,9.4,0.9,1.5,9.6
1610612760,Aaron Wiggins,1630598,OKC,SG,Wing,57,1289,2720,557,187,98,54,26,76,0.502,0.357,38,149,244,141,0.288,0.582,104,0.213,0.394,0.499,0.357,-2.3,20,2.6,26.5,0.139,3.3,12,10.5,2,2,12.8
1610612762,Ace Bailey,1642846,UTA,SF,Forward,64,1733,3757,860,263,115,56,41,87,0.516,0.359,97,166,343,153,0.201,0.673,264,0.347,0.424,0.451,0.359,-1.9,21,2.6,27.6,0.103,6,10.6,9.9,1.5,2.3,9.9
1610612755,Adem Bona,1641737,PHI,C,Big,63,1112,2361,306,285,28,27,80,51,0.591,0.333,118,167,6,166,0.834,0.633,27,0.136,0.333,0.03,0.333,6.5,11.2,0.4,13.7,0.523,11.5,16.8,3.3,1.2,6.8,17.2
1610612747,Adou Thiero,1642876,LAL,SF,Forward,20,107,226,29,20,6,5,2,5,0.476,0,7,13,1,14,0.636,0.571,7,0.318,0.286,0.045,0,-2.8,13.1,0.8,16.8,0.545,7.9,13.9,7.2,2.3,1.7,15.5
